screening_month,screening_date,ticker,name,composite_score,signal_volume_dryness,signal_accumulation,signal_short_covering,signal_pbr_low,signal_dividend_yield,signal_relative_strength,signal_volatility_squeeze,signal_volume_surge,signal_ma_breakout,signal_short_term_breakout,signal_relative_strength_accel,signal_accumulation_accel,excluded,exclude_reason,buy_date,buy_price,reached_5pct,days_to_5pct,reached_7pct,days_to_7pct,reached_10pct,days_to_10pct,max_drawdown_pct
2022-07,20220701,097950,CJ제일제당,65.4,0.0,100.0,30.8,80.8,86.5,87.3,73.8,0.0,26.5,68.9,100.0,100.0,False,,20220704,396500.0,True,26,True,26,True,26,-3.91
2022-07,20220701,000210,DL,66.9,0.0,100.0,0.0,94.2,,100.0,30.1,8.8,100.0,100.0,79.2,100.0,False,,20220704,71600.0,False,,False,,False,,-11.87
2022-07,20220701,004370,농심,69.3,17.6,100.0,96.5,98.1,75.0,67.9,78.6,12.8,16.3,46.0,83.4,100.0,False,,20220704,285000.0,True,26,True,26,False,,-4.74
2022-07,20220701,069620,대웅제약,65.7,41.4,100.0,100.0,50.0,30.8,89.8,16.5,20.8,38.8,71.4,100.0,69.5,False,,20220704,175000.0,True,11,True,11,True,18,-2.57
2022-07,20220701,145720,덴티움,65.8,2.7,57.1,43.4,78.8,81.0,100.0,37.9,5.8,100.0,94.3,100.0,100.0,False,,20220704,86000.0,True,26,True,26,True,26,-16.05
2022-07,20220701,028260,삼성물산,70.7,0.0,100.0,47.6,94.2,98.1,92.0,4.9,37.9,82.4,98.0,82.1,100.0,False,,20220704,123000.0,False,,False,,False,,-10.16
2022-07,20220701,068270,셀트리온,65.3,20.6,61.1,49.7,96.2,50.0,100.0,23.3,17.1,87.6,100.0,100.0,74.8,False,,20220704,151194.0,True,2,True,7,True,24,-1.12
2022-07,20220701,005850,에스엘,66.1,0.0,100.0,23.0,11.5,26.9,100.0,32.0,44.5,100.0,92.1,100.0,100.0,False,,20220704,31000.0,True,23,False,,False,,-10.65
2022-07,20220701,051600,한전KPS,65.1,46.0,100.0,39.4,59.6,,79.2,26.2,43.9,38.4,57.0,66.1,100.0,False,,20220704,39300.0,True,27,True,27,False,,-8.65
2022-07,20220701,010620,HD현대미포,65.2,18.4,94.9,100.0,0.0,,100.0,65.0,20.1,98.7,92.9,57.8,82.4,False,,20220704,89500.0,True,20,True,21,True,21,-13.18
2022-07,20220701,267260,HD현대일렉트릭,66.8,0.0,100.0,100.0,2.3,,100.0,0.0,20.2,92.1,83.6,100.0,100.0,False,,20220704,25150.0,True,1,True,19,True,20,-14.12
2022-07,20220701,010690,화신,71.0,0.0,100.0,92.3,13.5,,100.0,26.2,44.0,86.7,92.2,100.0,100.0,False,,20220704,9460.0,True,11,True,11,True,11,-8.67
2022-07,20220701,100090,SK오션플랜트,70.7,0.0,100.0,100.0,0.0,,100.0,29.1,44.3,100.0,92.4,91.7,100.0,False,,20220704,23450.0,True,21,True,22,True,24,-21.54
2022-08,20220801,003550,LG,68.3,2.4,100.0,46.2,90.4,94.2,100.0,39.4,0.0,86.6,95.1,69.6,100.0,False,,20220802,80300.0,True,8,False,,False,,-4.73
2022-08,20220801,051900,LG생활건강,65.8,35.1,36.4,44.8,94.2,96.2,50.8,63.5,42.8,100.0,77.6,75.0,100.0,False,,20220802,789000.0,False,,False,,False,,-17.49
2022-08,20220801,145720,덴티움,70.3,0.0,100.0,43.4,78.8,81.0,100.0,28.8,0.0,100.0,93.7,100.0,100.0,False,,20220802,86600.0,True,5,True,5,True,5,-10.62
2022-08,20220801,004990,롯데지주,72.2,0.0,100.0,100.0,92.3,,100.0,10.6,0.0,72.2,95.3,100.0,100.0,False,,20220802,37300.0,True,6,True,16,True,19,-2.82
2022-08,20220801,267260,HD현대일렉트릭,66.4,0.0,100.0,44.5,0.0,,95.4,13.5,41.5,100.0,100.0,100.0,100.0,False,,20220802,27450.0,True,5,True,6,True,7,-5.1
2022-08,20220801,100130,동국S&C,67.3,0.0,40.3,94.1,9.6,,100.0,3.8,100.0,94.8,99.3,100.0,100.0,False,,20220802,6910.0,True,4,True,4,True,16,-6.08
2022-08,20220801,277810,레인보우로보틱스,68.9,0.0,13.5,,81.2,,100.0,16.3,100.0,100.0,100.0,100.0,100.0,False,,20220802,27850.0,True,0,True,0,True,8,-4.85
2022-09,20220901,007070,GS리테일,68.6,9.7,100.0,100.0,94.2,,59.3,55.7,7.4,65.6,78.8,65.7,100.0,False,,20220902,22280.0,True,6,False,,False,,-9.6
2022-09,20220901,033780,KT&G,65.7,33.8,100.0,0.0,94.2,80.8,56.9,51.9,12.0,52.9,86.5,83.1,100.0,False,,20220902,82900.0,True,17,False,,False,,-0.97
2022-09,20220901,004990,롯데지주,67.2,0.0,59.1,100.0,90.4,,100.0,30.2,19.9,100.0,99.4,99.4,69.3,False,,20220902,41400.0,False,,False,,False,,-14.98
2022-09,20220901,017390,서울가스,69.8,0.0,100.0,,0.0,,100.0,58.5,100.0,100.0,89.5,44.1,100.0,False,,20220902,256000.0,True,3,True,3,True,17,0.0
2022-09,20220901,033240,자화전자,72.1,44.5,44.5,100.0,5.8,,76.5,59.4,81.4,95.4,90.5,100.0,100.0,False,,20220902,28700.0,False,,False,,False,,-33.28
2022-09,20220901,008930,한미사이언스,68.5,19.5,28.8,92.3,78.8,75.6,68.6,74.5,50.3,82.3,66.9,100.0,100.0,False,,20220902,42606.0,True,4,True,5,True,5,-33.07
2022-09,20220901,011210,현대위아,72.2,0.0,82.9,100.0,17.3,,100.0,61.3,37.8,100.0,95.4,100.0,100.0,False,,20220902,75800.0,False,,False,,False,,-27.18
2022-09,20220901,005380,현대차,68.3,0.0,100.0,55.6,36.5,,81.4,65.1,0.0,100.0,94.9,100.0,100.0,False,,20220902,199000.0,False,,False,,False,,-17.59
2022-09,20220901,010690,화신,71.1,0.0,86.0,100.0,5.8,,100.0,68.9,24.6,100.0,100.0,100.0,100.0,False,,20220902,11300.0,True,2,True,3,False,,-36.73
2022-09,20220901,090460,비에이치,74.9,27.9,89.4,52.0,63.5,7.1,100.0,47.2,50.0,100.0,99.2,100.0,100.0,False,,20220902,31550.0,True,4,True,5,False,,-21.08
2022-09,20220901,003100,선광,69.6,0.0,100.0,100.0,0.0,,100.0,99.1,0.0,100.0,97.5,91.9,89.5,False,,20220902,99800.0,True,23,True,28,False,,0.0
2022-09,20220901,025320,시노펙스,70.2,0.0,100.0,47.3,63.5,,96.3,26.4,47.2,71.6,76.2,100.0,100.0,False,,20220902,2895.0,False,,False,,False,,-32.75
2022-09,20220901,085660,차바이오텍,76.0,19.7,100.0,69.5,90.4,,63.1,38.7,43.7,100.0,87.1,100.0,100.0,False,,20220902,15877.0,True,6,False,,False,,-25.58
2022-09,20220901,032500,케이엠더블유,76.7,0.0,100.0,100.0,88.5,,87.9,32.1,25.6,100.0,94.7,100.0,100.0,False,,20220902,33350.0,True,4,True,4,False,,-33.43
2022-09,20220901,048410,현대바이오,69.7,50.2,9.0,100.0,15.4,,100.0,13.2,100.0,100.0,97.1,100.0,100.0,False,,20220902,16208.0,True,0,True,0,True,0,-46.37
2022-10,20221003,028050,삼성E&A,70.6,0.0,100.0,0.0,75.0,,100.0,88.5,13.4,100.0,74.9,100.0,100.0,False,,20221004,22900.0,True,1,True,7,True,7,-2.18
2022-10,20221003,084650,랩지노믹스,66.5,38.3,65.9,,96.2,80.0,49.3,74.0,66.9,0.0,0.0,100.0,100.0,False,,20221004,3200.0,True,2,True,2,True,2,-4.22
2022-10,20221003,091990,셀트리온헬스케어,68.9,29.3,100.0,100.0,82.7,80.0,57.6,58.7,24.5,2.4,30.2,100.0,100.0,False,,20221004,66321.0,False,,False,,False,,-9.29
2022-10,20221003,179290,엠아이텍,72.5,52.8,58.6,,5.0,5.7,100.0,67.3,66.3,100.0,100.0,100.0,100.0,False,,20221004,13350.0,True,2,True,3,False,,-13.11
2022-11,20221101,097950,CJ제일제당,67.7,21.5,100.0,0.0,65.4,73.1,75.0,74.8,26.9,66.7,90.1,88.7,100.0,False,,20221102,417000.0,False,,False,,False,,-11.27
