screening_month,screening_date,ticker,name,composite_score,turnaround_status,signal_volume_dryness,signal_accumulation,signal_short_covering,signal_pbr_low,signal_dividend_yield,signal_relative_strength,signal_volatility_squeeze,signal_volume_surge,signal_ma_breakout,signal_short_term_breakout,signal_relative_strength_accel,signal_accumulation_accel,excluded,exclude_reason,buy_date,buy_price,reached_5pct,days_to_5pct,reached_7pct,days_to_7pct,reached_10pct,days_to_10pct,max_drawdown_pct
2025-01,20250101,039200,오스코텍,75.3,confirmed_turnaround,76.0,100.0,86.1,82.4,,0.0,89.1,7.002496412772337,0.0,0.0,100.0,80.2099260463677,False,,20250102,24850.0,True,4,True,6,True,11,-3.62
2025-01,20250101,122870,와이지엔터테인먼트,70.5,confirmed_turnaround,0.0,86.6,100.0,76.5,80.6,80.5,94.1,0.0,100.0,64.97461928934008,58.830958822210356,91.60778958575104,False,,20250102,45350.0,True,7,True,8,True,10,-3.09
2025-01,20250101,240810,원익IPS,74.6,watching,56.5,88.4,95.3,98.0,,4.5,99.0,0.0,0.0,0.0,37.96899695011919,0.0,False,,20250102,21900.0,True,1,True,1,True,2,-4.57
2025-01,20250101,237690,에스티팜,73.6,watching,57.3,100.0,100.0,68.6,38.7,22.9,88.1,0.0,2.50344654718639,4.090909090909136,98.99907305307904,21.90713663406858,False,,20250102,89000.0,True,3,True,23,True,23,-10.0
2025-01,20250101,271560,오리온,73.4,watching,8.9,100.0,76.9,82.4,88.2,86.7,79.2,0.0,81.48977422322096,83.01886792452834,58.24162420237373,0.0,False,,20250102,102600.0,True,25,True,27,False,,-5.46
2025-01,20250101,067310,하나마이크론,73.4,watching,39.5,100.0,89.5,76.5,,44.9,79.2,0.0,0.0,0.0,40.34223515258213,0.0,False,,20250102,9240.0,True,1,True,2,True,2,-2.27
2025-01,20250101,096530,씨젠,72.5,watching,36.4,100.0,100.0,76.5,,43.6,68.3,0.0,36.89339484318564,58.7525150905433,62.47861297828401,0.0,False,,20250102,22600.0,True,0,True,0,True,0,-0.22
2025-01,20250101,096770,SK이노베이션,71.7,watching,25.2,100.0,72.7,86.3,,62.9,73.3,0.0,42.673434118996795,55.28455284552841,22.258349839462856,0.0,False,,20250102,112400.0,True,1,True,3,True,4,-1.42
2025-01,20250101,035420,NAVER,69.5,watching,0.0,100.0,88.9,58.8,88.2,88.4,74.3,0.0,100.0,56.1926605504587,76.46944849132792,0.0,False,,20250102,199500.0,True,3,True,17,True,18,-3.91
2025-01,20250101,053030,바이넥스,68.8,watching,70.3,100.0,83.3,35.3,,0.0,82.2,0.0,0.0,0.0,35.363015524080566,39.02641324581522,False,,20250102,18350.0,True,2,True,2,True,3,-6.1
2025-01,20250101,018880,한온시스템,67.3,watching,17.4,82.5,66.6,96.1,,79.0,62.4,0.0,64.96140000416173,70.6572769953052,28.09543428764384,0.0,False,,20250102,3718.0,True,3,True,3,True,3,-0.89
2025-04,20250401,011780,금호석유화학,75.9,confirmed_turnaround,0.0,95.1,100.0,92.2,,100.0,77.2,0.0,100.0,77.72474144789179,100.0,100.0,False,,20250402,120100.0,True,23,True,23,True,24,-14.32
2025-04,20250401,200670,휴메딕스,67.0,confirmed_turnaround,15.3,100.0,100.0,41.2,,33.2,95.0,0.0,95.42674993494666,70.03525264394831,6.723444293331895,100.0,False,,20250402,40350.0,True,23,True,23,True,24,-18.09
2025-04,20250401,017800,현대엘리베이터,71.8,watching,35.6,100.0,100.0,43.1,,51.4,97.0,0.0,99.88518136657606,90.36777583187394,92.73057943428005,26.2122543867807,False,,20250402,56400.0,True,2,True,7,True,7,-5.32
2025-04,20250401,000670,영풍,70.2,watching,34.8,96.7,100.0,80.4,86.3,52.8,31.7,0.0,58.8615195360553,20.570264765784145,0.0,22.480620155038764,False,,20250402,40179.0,False,,False,,False,,-17.43
2025-04,20250401,095610,테스,70.0,watching,0.0,100.0,100.0,54.9,,100.0,66.3,0.0,96.55771905424203,46.0580912863071,40.71032202982345,0.0,False,,20250402,21900.0,True,26,True,26,False,,-21.32
2025-04,20250401,007660,이수페타시스,69.6,watching,62.6,100.0,39.9,21.6,40.0,100.0,90.1,10.6631562661821,78.15774862932889,21.511627906976756,0.0,5.2401791191807545,False,,20250402,36600.0,True,23,True,23,True,24,-22.27
2025-04,20250401,241560,두산밥캣,65.1,watching,54.8,100.0,0.0,52.9,43.9,70.6,99.0,1.4174993346279439,78.60215429810452,57.14285714285715,14.297574781232683,0.0,False,,20250402,48100.0,False,,False,,False,,-15.18
2025-05,20250501,030000,제일기획,68.1,confirmed_turnaround,28.0,100.0,90.9,80.8,,60.4,26.5,7.790452658661051,70.45921683131671,100.0,61.69449435548914,94.01630186829193,False,,20250502,18410.0,True,25,True,25,True,25,-3.1
2025-05,20250501,145020,휴젤,66.5,confirmed_turnaround,21.8,99.9,96.9,0.0,,100.0,33.3,0.0,100.0,93.91891891891895,100.0,100.0,False,,20250502,365500.0,True,25,False,,False,,-12.45
2025-05,20250501,009450,경동나비엔,65.5,confirmed_turnaround,71.7,100.0,66.7,40.4,44.2,21.6,71.6,0.0,1.8795632440965584,23.481308411214954,85.55436018533304,83.40566294810155,False,,20250502,73400.0,True,0,True,3,True,5,-5.04
2025-05,20250501,251970,펌텍코리아,65.0,confirmed_turnaround,10.1,100.0,100.0,0.0,,100.0,81.4,0.0,100.0,83.18584070796462,37.7449676149006,60.176124510634644,False,,20250502,55400.0,True,2,True,2,True,2,-3.61
2025-05,20250501,307950,현대오토에버,67.4,watching,41.8,98.0,58.3,86.5,,25.2,74.5,48.918360881098906,0.0,8.488063660477465,21.12674998810328,100.0,False,,20250502,123400.0,True,2,True,4,True,6,0.0
2025-05,20250501,101360,에코앤드림,65.9,watching,56.9,79.9,0.0,92.0,,81.3,72.5,0.0,0.0,0.0,0.0,0.0,False,,20250502,24750.0,False,,False,,False,,-19.23
2025-08,20250801,032350,롯데관광개발,72.7,confirmed_turnaround,0.0,100.0,100.0,73.1,,100.0,64.8,4.756194836588445,100.0,58.51409978308026,59.09028329535955,75.50127152817439,False,,20250804,16920.0,True,0,True,0,True,2,-10.64
2025-08,20250801,336570,원텍,70.8,confirmed_turnaround,32.0,100.0,100.0,41.7,7.1,100.0,67.6,0.5446159689836676,100.0,57.58258258258259,0.0,74.27373125253808,False,,20250804,12190.0,True,4,True,5,False,,-20.67
2025-08,20250801,014680,한솔케미칼,69.9,confirmed_turnaround,22.5,100.0,14.0,78.8,71.2,100.0,97.1,0.0,100.0,62.31019522776571,0.0,100.0,False,,20250804,171000.0,True,18,True,28,True,29,-7.25
2025-08,20250801,218410,RFHIC,69.1,confirmed_turnaround,0.0,100.0,88.9,38.5,,100.0,93.3,79.9175671721907,100.0,52.86195286195288,6.873321624383491,43.80005118822304,False,,20250804,27000.0,True,0,True,24,True,28,-14.81
2025-08,20250801,064760,티씨케이,69.0,confirmed_turnaround,19.6,100.0,100.0,80.8,,80.9,12.4,100.0,95.33182967671382,54.3828264758497,90.14539071858387,100.0,False,,20250804,101000.0,True,3,True,4,True,7,-0.89
2025-08,20250801,000150,두산,67.9,confirmed_turnaround,14.0,100.0,100.0,1.9,,100.0,97.1,27.695670792088684,100.0,30.597014925373145,27.494308712156702,100.0,False,,20250804,564000.0,True,1,True,1,True,1,-17.02
2025-08,20250801,102710,이엔에프테크놀로지,66.7,confirmed_turnaround,19.6,100.0,100.0,21.2,,100.0,51.4,100.0,100.0,70.55427251732098,100.0,80.73392333852007,False,,20250804,40550.0,True,4,True,5,True,26,-15.17
2025-08,20250801,034230,파라다이스,66.5,confirmed_turnaround,0.0,96.4,100.0,48.1,57.1,100.0,44.8,1.156443258223113,100.0,54.35897435897438,0.0,53.90423080227915,False,,20250804,17700.0,True,0,True,3,True,3,0.0
2025-08,20250801,084370,유진테크,66.5,confirmed_turnaround,0.0,85.7,83.3,59.6,,100.0,81.9,5.50365462626711,100.0,53.51351351351348,7.706543738545138,80.44976200203558,False,,20250804,41500.0,True,4,True,4,True,5,-2.05
2025-08,20250801,194700,노바렉스,66.4,confirmed_turnaround,0.0,100.0,100.0,42.3,,100.0,52.4,0.0,100.0,37.045454545454604,0.0,100.0,False,,20250804,19420.0,True,1,True,4,True,5,-9.06
2025-08,20250801,086280,현대글로비스,66.3,confirmed_turnaround,21.3,75.1,100.0,28.8,55.8,97.6,99.0,8.881373731940407,100.0,93.28859060402685,91.9704561189359,100.0,False,,20250804,145500.0,True,1,True,2,True,3,-0.76
2025-08,20250801,003380,하림지주,65.3,confirmed_turnaround,0.0,100.0,100.0,42.3,51.9,100.0,48.6,0.0,72.77959456697445,28.09204218600193,0.0,79.16365799250161,False,,20250804,8950.0,True,0,True,2,False,,-13.3
2025-08,20250801,189300,인텔리안테크,78.7,watching,27.3,100.0,100.0,86.5,84.6,79.7,74.3,0.0,77.16526734423329,43.352059925093656,0.3372394640013404,0.0,False,,20250804,47000.0,True,1,True,2,True,5,-7.66
2025-08,20250801,005880,대한해운,66.8,watching,0.0,100.0,100.0,92.3,,40.5,58.1,33.580779701109016,95.67290605378508,50.30737704918031,17.718897589913198,0.0,False,,20250804,1758.0,True,3,False,,False,,-6.2
