ticker,name,score,status,buy_date,buy_price,sell_date,sell_price,sell_reason,holding_trading_days,return_pct,open_position
003230,삼양식품,67.4,confirmed_turnaround,20220701,100500.0,20220701,105525.0,+5%,0,5.0,False
004370,농심,76.6,confirmed_turnaround,20220701,269000.0,20220701,282450.0,+5%,0,5.0,False
069620,대웅제약,69.0,confirmed_turnaround,20220701,178000.0,20220701,169100.0,-5%,0,-5.0,False
277810,레인보우로보틱스,67.4,confirmed_turnaround,20220701,23550.0,20220701,24727.5,+5%,0,5.0,False
298380,에이비엘바이오,73.9,watching,20220701,25450.0,20220701,24177.5,-5%,0,-5.0,False
000720,현대건설,66.8,confirmed_turnaround,20220701,42000.0,20220704,39900.0,-5%,1,-5.0,False
009830,한화솔루션,67.0,watching,20220701,38500.0,20220704,36575.0,-5%,1,-5.0,False
079550,LIG디펜스앤에어로스페이스,65.1,watching,20220704,76400.0,20220704,72580.0,-5%,0,-5.0,False
282330,BGF리테일,68.8,watching,20220701,196000.0,20220704,186200.0,-5%,1,-5.0,False
004990,롯데지주,65.0,watching,20220704,37950.0,20220706,36052.5,-5%,2,-5.0,False
010620,HD현대미포,65.0,watching,20220705,85100.0,20220706,80845.0,-5%,1,-5.0,False
053800,안랩,70.5,watching,20220706,89800.0,20220706,94290.0,+5%,0,5.0,False
012330,현대모비스,65.8,watching,20220705,201500.0,20220707,191425.0,-5%,2,-5.0,False
064550,바이오니아,65.6,watching,20220708,29050.0,20220708,30502.5,+5%,0,5.0,False
007070,GS리테일,65.1,watching,20220707,25900.0,20220711,24605.0,-5%,2,-5.0,False
089860,롯데렌탈,78.2,watching,20220701,38300.0,20220711,36385.0,-5%,6,-5.0,False
018260,삼성에스디에스,68.2,confirmed_turnaround,20220708,135500.0,20220712,128725.0,-5%,2,-5.0,False
144510,지씨셀,65.1,confirmed_turnaround,20220707,59300.0,20220712,62265.0,+5%,3,5.0,False
145020,휴젤,71.0,confirmed_turnaround,20220712,110000.0,20220712,115500.0,+5%,0,5.0,False
078340,컴투스,69.2,watching,20220711,74900.0,20220713,71155.0,-5%,2,-5.0,False
008930,한미사이언스,70.6,confirmed_turnaround,20220708,41950.0,20220714,39852.5,-5%,4,-5.0,False
192820,코스맥스,70.8,confirmed_turnaround,20220711,61700.0,20220714,64785.0,+5%,3,5.0,False
289220,자이언트스텝,71.3,watching,20220713,23500.0,20220714,24675.0,+5%,1,5.0,False
063080,컴투스홀딩스,69.1,watching,20220715,53800.0,20220715,51110.0,-5%,0,-5.0,False
323990,박셀바이오,70.5,watching,20220712,41000.0,20220715,43050.0,+5%,3,5.0,False
271560,오리온,78.7,watching,20220713,108000.0,20220719,102600.0,-5%,4,-5.0,False
041190,우리기술투자,74.2,watching,20220719,5720.0,20220720,6006.0,+5%,1,5.0,False
402340,SK스퀘어,66.4,watching,20220713,39950.0,20220720,41947.5,+5%,5,5.0,False
018880,한온시스템,65.3,watching,20220715,10050.0,20220725,10552.5,+5%,6,5.0,False
034220,LG디스플레이,66.0,watching,20220718,15350.0,20220727,14582.5,-5%,7,-5.0,False
068270,셀트리온,67.2,watching,20220722,181500.0,20220727,190575.0,+5%,3,5.0,False
003550,LG,68.3,watching,20220714,76200.0,20220728,80010.0,+5%,10,5.0,False
090430,아모레퍼시픽,66.1,confirmed_turnaround,20220726,137500.0,20220728,130625.0,-5%,2,-5.0,False
373220,LG에너지솔루션,71.2,watching,20220728,396000.0,20220728,415800.0,+5%,0,5.0,False
006280,녹십자,65.3,confirmed_turnaround,20220708,182000.0,20220729,172900.0,-5%,15,-5.0,False
021240,코웨이,68.8,watching,20220711,65300.0,20220801,62035.0,-5%,15,-5.0,False
195940,HK이노엔,65.6,confirmed_turnaround,20220720,42500.0,20220801,44625.0,+5%,8,5.0,False
161890,한국콜마,68.5,watching,20220728,40550.0,20220802,38522.5,-5%,3,-5.0,False
141080,리가켐바이오,66.5,watching,20220729,44000.0,20220804,46200.0,+5%,4,5.0,False
007660,이수페타시스,69.2,confirmed_turnaround,20220805,7590.0,20220808,7210.5,-5%,1,-5.0,False
128940,한미약품,67.2,watching,20220802,309000.0,20220808,324450.0,+5%,4,5.0,False
228670,레이,69.5,watching,20220804,24200.0,20220808,22990.0,-5%,2,-5.0,False
000120,CJ대한통운,66.8,watching,20220722,114500.0,20220809,120225.0,+5%,12,5.0,False
097950,CJ제일제당,66.5,watching,20220729,397500.0,20220809,417375.0,+5%,7,5.0,False
003220,대원제약,68.0,confirmed_turnaround,20220809,18900.0,20220810,17955.0,-5%,1,-5.0,False
016380,KG스틸,68.9,watching,20220801,12350.0,20220810,12967.5,+5%,7,5.0,False
034730,SK,66.8,watching,20220804,218000.0,20220811,228900.0,+5%,5,5.0,False
081660,미스토홀딩스,68.8,watching,20220729,30550.0,20220812,32077.5,+5%,10,5.0,False
051900,LG생활건강,68.8,watching,20220809,759000.0,20220816,721050.0,-5%,4,-5.0,False
307950,현대오토에버,69.8,watching,20220811,127500.0,20220816,133875.0,+5%,2,5.0,False
032500,케이엠더블유,66.8,watching,20220817,30600.0,20220818,29070.0,-5%,1,-5.0,False
012750,에스원,67.7,watching,20220715,63700.0,20220819,60515.0,-5%,24,-5.0,False
071050,한국금융지주,72.4,watching,20220816,63500.0,20220819,60325.0,-5%,3,-5.0,False
