ticker,name,score,status,buy_date,buy_price,sell_date,sell_price,sell_reason,holding_trading_days,return_pct,open_position
003230,삼양식품,67.4,confirmed_turnaround,20220701,100500.0,20220701,105525.0,+5%,0,5.0,False
004370,농심,76.6,confirmed_turnaround,20220701,269000.0,20220701,282450.0,+5%,0,5.0,False
277810,레인보우로보틱스,67.4,confirmed_turnaround,20220701,23550.0,20220701,24727.5,+5%,0,5.0,False
019170,신풍제약,66.6,confirmed_turnaround,20220711,25050.0,20220711,26302.5,+5%,0,5.0,False
000720,현대건설,66.8,confirmed_turnaround,20220701,42000.0,20220712,37800.0,-10%,7,-10.0,False
144510,지씨셀,65.1,confirmed_turnaround,20220707,59300.0,20220712,62265.0,+5%,3,5.0,False
145020,휴젤,71.0,confirmed_turnaround,20220712,110000.0,20220712,115500.0,+5%,0,5.0,False
192820,코스맥스,70.8,confirmed_turnaround,20220711,61700.0,20220714,64785.0,+5%,3,5.0,False
012330,현대모비스,67.3,confirmed_turnaround,20220713,205000.0,20220718,215250.0,+5%,3,5.0,False
069620,대웅제약,69.0,confirmed_turnaround,20220701,178000.0,20220719,186900.0,+5%,12,5.0,False
402340,SK스퀘어,67.7,confirmed_turnaround,20220714,40450.0,20220727,42472.5,+5%,9,5.0,False
195940,HK이노엔,65.6,confirmed_turnaround,20220720,42500.0,20220801,44625.0,+5%,8,5.0,False
006280,녹십자,65.3,confirmed_turnaround,20220708,182000.0,20220808,178000.0,만기청산(30일),21,-2.2,False
008930,한미사이언스,70.6,confirmed_turnaround,20220708,41950.0,20220808,42100.0,만기청산(30일),21,0.36,False
018260,삼성에스디에스,68.2,confirmed_turnaround,20220708,135500.0,20220808,131000.0,만기청산(30일),21,-3.32,False
018880,한온시스템,67.9,confirmed_turnaround,20220726,10400.0,20220809,10920.0,+5%,10,5.0,False
090430,아모레퍼시픽,66.1,confirmed_turnaround,20220726,137500.0,20220809,123750.0,-10%,10,-10.0,False
053800,안랩,85.4,confirmed_turnaround,20220712,90000.0,20220810,94500.0,+5%,21,5.0,False
003220,대원제약,65.1,confirmed_turnaround,20220712,18650.0,20220811,18150.0,만기청산(30일),22,-2.68,False
003550,LG,74.4,confirmed_turnaround,20220728,79300.0,20220811,83265.0,+5%,10,5.0,False
034220,LG디스플레이,71.2,confirmed_turnaround,20220810,15850.0,20220811,16642.5,+5%,1,5.0,False
081660,미스토홀딩스,71.8,confirmed_turnaround,20220802,30300.0,20220812,31815.0,+5%,8,5.0,False
016380,KG스틸,72.5,confirmed_turnaround,20220812,12800.0,20220816,13440.0,+5%,1,5.0,False
021240,코웨이,68.7,confirmed_turnaround,20220714,65200.0,20220816,65500.0,만기청산(30일),22,0.46,False
141080,리가켐바이오,72.0,confirmed_turnaround,20220809,49400.0,20220823,44460.0,-10%,9,-10.0,False
004370,농심,66.3,confirmed_turnaround,20220816,295500.0,20220824,310275.0,+5%,6,5.0,False
035900,JYP Ent.,76.2,confirmed_turnaround,20220824,58900.0,20220825,61845.0,+5%,1,5.0,False
068270,셀트리온,69.6,confirmed_turnaround,20220809,205500.0,20220829,184950.0,-10%,13,-10.0,False
004990,롯데지주,73.1,confirmed_turnaround,20220825,39150.0,20220830,41107.5,+5%,3,5.0,False
180640,한진칼,65.3,confirmed_turnaround,20220830,59000.0,20220831,53100.0,-10%,1,-10.0,False
007070,GS리테일,67.4,confirmed_turnaround,20220817,25650.0,20220902,26932.5,+5%,12,5.0,False
253450,스튜디오드래곤,75.3,confirmed_turnaround,20220811,80100.0,20220906,72090.0,-10%,17,-10.0,False
053030,바이넥스,70.7,confirmed_turnaround,20220901,14750.0,20220907,13275.0,-10%,4,-10.0,False
000810,삼성화재,67.7,confirmed_turnaround,20220809,203500.0,20220908,192000.0,만기청산(30일),21,-5.65,False
006800,미래에셋증권,69.1,confirmed_turnaround,20220831,6590.0,20220908,6919.5,+5%,6,5.0,False
032500,케이엠더블유,71.0,confirmed_turnaround,20220905,32950.0,20220908,34597.5,+5%,3,5.0,False
004170,신세계,68.5,confirmed_turnaround,20220908,224500.0,20220913,235725.0,+5%,1,5.0,False
034730,SK,72.1,confirmed_turnaround,20220812,229000.0,20220913,230000.0,만기청산(30일),19,0.44,False
097950,CJ제일제당,70.7,confirmed_turnaround,20220810,426500.0,20220913,395500.0,만기청산(30일),21,-7.27,False
128940,한미약품,67.9,confirmed_turnaround,20220812,317000.0,20220913,305000.0,만기청산(30일),19,-3.79,False
099430,바이오플러스,66.4,confirmed_turnaround,20220914,32450.0,20220915,34072.5,+5%,1,5.0,False
161890,한국콜마,75.7,confirmed_turnaround,20220914,37600.0,20220915,39480.0,+5%,1,5.0,False
204320,HL만도,71.7,confirmed_turnaround,20220913,55200.0,20220915,49680.0,-10%,2,-10.0,False
373220,LG에너지솔루션,66.7,confirmed_turnaround,20220907,481500.0,20220915,505575.0,+5%,4,5.0,False
003230,삼양식품,66.2,confirmed_turnaround,20220817,115000.0,20220916,110500.0,만기청산(30일),20,-3.91,False
009150,삼성전기,73.3,confirmed_turnaround,20220914,138500.0,20220922,124650.0,-10%,6,-10.0,False
402340,SK스퀘어,68.1,confirmed_turnaround,20220915,42850.0,20220922,38565.0,-10%,5,-10.0,False
192820,코스맥스,80.6,confirmed_turnaround,20220922,63400.0,20220923,57060.0,-10%,1,-10.0,False
